list_name,name,label,filter,school,location
school_grade,ECD_1,ECD 1 ,32,,
school_grade,ECD_2,ECD 2,32,,
school_grade,ECD_3,ECD 3 ,32,,
school_grade,ECD_1,ECD 1 ,8,,
school_grade,ECD_2,ECD 2,8,,
school_grade,ECD_3,ECD 3 ,8,,
school_grade,01_primary,01 primary,5,,
school_grade,02_primary,02 primary ,5,,
school_grade,03_primary,03 primary ,5,,
school_grade,04_primary,04 primary ,5,,
school_grade,05_primary,05 primary ,5,,
school_grade,06_primary,06 primary,5,,
school_grade,07_lower_secondary,07 lower secondary,5,,
school_grade,08_lower_secondary,08 lower secondary,5,,
school_grade,09_lower_secondary,09 lower secondary ,5,,
school_grade,01_primary,01 primary,13,,
school_grade,02_primary,02 primary ,13,,
school_grade,03_primary,03 primary ,13,,
school_grade,04_primary,04 primary ,13,,
school_grade,05_primary,05 primary ,13,,
school_grade,06_primary,06 primary,13,,
school_grade,ECD_1,ECD 1 ,42,,
school_grade,ECD_2,ECD 2,42,,
school_grade,ECD_3,ECD 3 ,42,,
school_grade,01_primary,01 primary,58,,
school_grade,02_primary,02 primary ,58,,
school_grade,03_primary,03 primary ,58,,
school_grade,04_primary,04 primary ,58,,
school_grade,05_primary,05 primary ,58,,
school_grade,06_primary,06 primary,58,,
school_grade,ECD_1,ECD 1 ,34,,
school_grade,ECD_2,ECD 2,34,,
school_grade,ECD_3,ECD 3 ,34,,
school_grade,01_primary,01 primary,17,,
school_grade,02_primary,02 primary ,17,,
school_grade,03_primary,03 primary ,17,,
school_grade,04_primary,04 primary ,17,,
school_grade,05_primary,05 primary ,17,,
school_grade,06_primary,06 primary,17,,
school_grade,07_lower_secondary,07 lower secondary,17,,
school_grade,01_primary,01 primary,15,,
school_grade,02_primary,02 primary ,15,,
school_grade,03_primary,03 primary ,15,,
school_grade,04_primary,04 primary ,15,,
school_grade,05_primary,05 primary ,15,,
school_grade,06_primary,06 primary,15,,
school_grade,07_lower_secondary,07 lower secondary,15,,
school_grade,08_lower_secondary,08 lower secondary,15,,
school_grade,09_lower_secondary,09 lower secondary ,15,,
school_grade,10_upper_secondary,10 upper secondary ,11,,
school_grade,01_primary,01 primary,57,,
school_grade,02_primary,02 primary ,57,,
school_grade,03_primary,03 primary ,57,,
school_grade,04_primary,04 primary ,57,,
school_grade,05_primary,05 primary ,57,,
school_grade,06_primary,06 primary,57,,
school_grade,11_upper_secondary,11 upper secondary ,28,,
school_grade,12_upper_secondary,12 upper secondary ,28,,
school_grade,13_upper_secondary,13 upper secondary,28,,
school_grade,14_upper_secondary,14 upper secondary,28,,
school_grade,ECD_1,ECD 1 ,38,,
school_grade,ECD_2,ECD 2,38,,
school_grade,ECD_3,ECD 3 ,38,,
school_grade,ECD_1,ECD 1 ,48,,
school_grade,ECD_2,ECD 2,48,,
school_grade,ECD_3,ECD 3 ,48,,
school_grade,01_primary,01 primary,20,,
school_grade,02_primary,02 primary ,20,,
school_grade,03_primary,03 primary ,20,,
school_grade,04_primary,04 primary ,20,,
school_grade,05_primary,05 primary ,20,,
school_grade,06_primary,06 primary,20,,
school_grade,01_primary,01 primary,14,,
school_grade,02_primary,02 primary ,14,,
school_grade,03_primary,03 primary ,14,,
school_grade,04_primary,04 primary ,14,,
school_grade,05_primary,05 primary ,14,,
school_grade,06_primary,06 primary,14,,
school_grade,07_lower_secondary,07 lower secondary,14,,
school_grade,08_lower_secondary,08 lower secondary,14,,
school_grade,09_lower_secondary,09 lower secondary ,14,,
school_grade,ECD_1,ECD 1 ,33,,
school_grade,ECD_2,ECD 2,33,,
school_grade,ECD_3,ECD 3 ,33,,
school_grade,ECD_1,ECD 1 ,9,,
school_grade,ECD_2,ECD 2,9,,
school_grade,ECD_3,ECD 3 ,9,,
school_grade,ECD_1,ECD 1 ,43,,
school_grade,ECD_2,ECD 2,43,,
school_grade,ECD_3,ECD 3 ,43,,
school_grade,ECD_1,ECD 1 ,47,,
school_grade,ECD_2,ECD 2,47,,
school_grade,ECD_3,ECD 3 ,47,,
school_grade,01_primary,01 primary,6,,
school_grade,02_primary,02 primary ,6,,
school_grade,03_primary,03 primary ,6,,
school_grade,04_primary,04 primary ,6,,
school_grade,05_primary,05 primary ,6,,
school_grade,06_primary,06 primary,6,,
school_grade,07_lower_secondary,07 lower secondary,6,,
school_grade,08_lower_secondary,08 lower secondary,6,,
school_grade,09_lower_secondary,09 lower secondary ,6,,
school_grade,01_primary,01 primary,18,,
school_grade,02_primary,02 primary ,18,,
school_grade,03_primary,03 primary ,18,,
school_grade,04_primary,04 primary ,18,,
school_grade,05_primary,05 primary ,18,,
school_grade,06_primary,06 primary,18,,
school_grade,07_lower_secondary,07 lower secondary,18,,
school_grade,08_lower_secondary,08 lower secondary,18,,
school_grade,09_lower_secondary,09 lower secondary ,18,,
school_grade,ECD_1,ECD 1 ,64,,
school_grade,ECD_2,ECD 2,64,,
school_grade,ECD_3,ECD 3 ,64,,
school_grade,ECD_1,ECD 1 ,62,,
school_grade,ECD_2,ECD 2,62,,
